date,num_of_exceptions,expected_officers,num_of_crimes_predicted,num_of_calls_predicted,expected_officers_rank,num_of_crimes_predicted_rank,num_of_calls_predicted_rank,expected_officers_bucket,num_of_crimes_predicted_bucket,num_of_calls_predicted_bucket
2022-08-06,30,250,98.5135699847648,413.54664375925154,0.5070093457943925,0.20093457943925233,0.3878504672897196,2,1,2
2022-08-07,29,251,94.23210123727442,393.1645400943154,0.5817757009345794,0.056074766355140186,0.17289719626168223,2,1,1
2022-08-08,27,253,103.04506927934791,418.48393904340105,0.6869158878504673,0.48598130841121495,0.46261682242990654,3,2,2
2022-08-09,25,255,103.46532873889568,424.5810606331576,0.7920560747663551,0.5093457943925234,0.5514018691588785,3,2,2
2022-08-10,30,250,105.26063774637228,429.2385659319017,0.5070093457943925,0.5934579439252337,0.6588785046728972,2,2,2
2022-08-11,26,254,101.33715445568808,435.0911319753354,0.735981308411215,0.37850467289719625,0.7710280373831776,3,2,3
2022-08-12,29,251,105.86580663123183,437.92750041245375,0.5817757009345794,0.6355140186915887,0.822429906542056,2,2,3
2022-08-13,29,251,103.60990210104082,409.49589851512377,0.5817757009345794,0.5186915887850467,0.32242990654205606,2,2,1
2022-08-14,32,248,92.9554179614367,395.4908200291953,0.40186915887850466,0.028037383177570093,0.19626168224299065,2,1,1
2022-08-15,31,249,106.49144821391016,356.7004773837274,0.45560747663551404,0.6542056074766355,0.009345794392523364,2,2,1
2022-08-16,33,247,107.34630314130084,412.0296806386186,0.3341121495327103,0.6728971962616822,0.37383177570093457,2,3,2
2022-08-17,27,253,102.69219737271774,419.22550357614944,0.6869158878504673,0.4485981308411215,0.48130841121495327,3,2,2
2022-08-18,29,251,110.2914830797888,422.8313804284111,0.5817757009345794,0.822429906542056,0.5327102803738317,2,3,2
2022-08-19,29,251,110.1637042646273,475.0047673142156,0.5817757009345794,0.8130841121495327,0.9626168224299065,2,3,3
2022-08-20,36,244,107.91710258457222,406.8211334658457,0.16822429906542055,0.6869158878504673,0.27102803738317754,1,3,1
2022-08-21,31,249,98.68642929768984,393.7359022432776,0.45560747663551404,0.21962616822429906,0.17757009345794392,2,1,1
2022-08-22,27,253,104.50297003489284,409.1758779559752,0.6869158878504673,0.5560747663551402,0.3130841121495327,3,2,1
2022-08-23,26,254,112.81331338287522,428.4325807019475,0.735981308411215,0.8691588785046729,0.6401869158878505,3,3,2
2022-08-24,32,248,115.57786813982698,434.606914919219,0.40186915887850466,0.9532710280373832,0.7523364485981309,2,3,3
2022-08-25,38,242,108.76137837125592,436.1559381372289,0.1191588785046729,0.7429906542056075,0.794392523364486,1,3,3
2022-08-26,32,248,114.6725766762497,434.0063987744884,0.40186915887850466,0.9299065420560748,0.7383177570093458,2,3,3
2022-08-27,30,250,108.4511243755188,407.3781073840327,0.5070093457943925,0.7102803738317757,0.2757009345794392,2,3,1
2022-08-28,36,244,97.01623447555303,396.3668678147432,0.16822429906542055,0.1308411214953271,0.20093457943925233,1,1,1
2022-08-29,23,257,115.4371000591209,430.0303892433545,0.8901869158878505,0.9439252336448598,0.6728971962616822,3,3,3
2022-08-30,26,254,115.33842592618308,434.85028700022445,0.735981308411215,0.9392523364485982,0.7570093457943925,3,3,3
2022-08-31,28,252,116.35821191856476,413.5182223018561,0.6448598130841121,0.9579439252336449,0.38317757009345793,2,3,2
2022-09-01,44,236,194.2426825171356,503.66697371837057,0.009345794392523364,0.9906542056074766,1.0,1,3,3
2022-09-02,35,245,110.60182742029338,502.1757807211716,0.22897196261682243,0.8271028037383178,0.9906542056074766,1,3,3
2022-09-03,36,244,98.0331174447631,492.8546934895513,0.16822429906542055,0.16355140186915887,0.9719626168224299,1,1,3
2022-09-04,32,248,99.4917919512049,395.1967929123508,0.40186915887850466,0.2523364485981308,0.18691588785046728,2,1,1
2022-09-05,38,242,99.7938104449736,419.0346391335371,0.1191588785046729,0.27102803738317754,0.4766355140186916,1,1,2
2022-09-06,32,248,101.71448801980569,425.9947566609301,0.40186915887850466,0.40654205607476634,0.5841121495327103,2,2,2
2022-09-07,32,248,101.4411651285595,429.774631859772,0.40186915887850466,0.397196261682243,0.6682242990654206,2,2,3
2022-09-08,26,254,103.14433320681958,436.47986684761474,0.735981308411215,0.4953271028037383,0.7990654205607477,3,2,3
2022-09-09,24,256,108.14544169204,466.9797184724141,0.8457943925233645,0.6962616822429907,0.9439252336448598,3,3,3
2022-09-10,25,255,105.63183901211772,408.479909831422,0.7920560747663551,0.6121495327102804,0.29439252336448596,3,2,1
2022-09-11,25,255,96.53540519946284,391.08736972394496,0.7920560747663551,0.12149532710280374,0.1542056074766355,3,1,1
2022-09-12,25,255,100.93815926670528,428.150003321313,0.7920560747663551,0.35514018691588783,0.6355140186915887,3,2,2
2022-09-13,33,247,100.8790838530915,421.9589650595013,0.3341121495327103,0.35046728971962615,0.514018691588785,2,2,2
2022-09-14,26,254,102.83281894039996,432.7092791543116,0.735981308411215,0.46261682242990654,0.7149532710280374,3,2,3
2022-09-15,34,246,108.96165815938242,417.711597034486,0.2827102803738318,0.7570093457943925,0.4485981308411215,1,3,2
2022-09-16,30,250,108.6937506925802,432.0237264784404,0.5070093457943925,0.7242990654205608,0.7009345794392523,2,3,3
2022-09-17,23,257,100.66985415337255,402.3805957755949,0.8901869158878505,0.3317757009345794,0.2383177570093458,3,2,1
2022-09-18,25,255,97.88527364796109,390.7818527414106,0.7920560747663551,0.1542056074766355,0.14953271028037382,3,1,1
2022-09-19,40,240,101.39044197616404,411.0898503239579,0.06775700934579439,0.38317757009345793,0.3598130841121495,1,2,2
2022-09-20,36,244,108.64233701060743,419.5607093369962,0.16822429906542055,0.7149532710280374,0.49065420560747663,1,3,2
2022-09-21,41,239,111.33611709393742,435.3789212256649,0.04205607476635514,0.8457943925233645,0.7757009345794392,1,3,3
2022-09-22,35,245,108.73379719101068,439.38504762410304,0.22897196261682243,0.7383177570093458,0.8317757009345794,1,3,3
2022-09-23,35,245,112.08707041296444,443.9618909893473,0.22897196261682243,0.8598130841121495,0.8785046728971962,1,3,3
2022-09-24,20,260,110.17346037164916,394.4137695016647,0.9532710280373832,0.8177570093457944,0.1822429906542056,3,3,1
2022-09-25,23,257,101.5491407869999,381.4884889380643,0.8901869158878505,0.40186915887850466,0.1261682242990654,3,2,1
2022-09-26,33,247,105.38336783278235,369.335898974302,0.3341121495327103,0.5981308411214953,0.06542056074766354,2,2,1
2022-09-27,39,241,114.99869535803836,404.9190390081358,0.09345794392523364,0.9345794392523364,0.24766355140186916,1,3,1
2022-09-28,35,245,118.47747411434608,420.52653835341897,0.22897196261682243,0.9626168224299065,0.5046728971962616,1,3,2
2022-09-29,33,247,118.58212662161762,424.3194921885933,0.3341121495327103,0.9672897196261683,0.5420560747663551,2,3,2
